Id Taxista R,Id Viaje R,Distancia,Duracion
857,9083,"3,803","1,099"
857,9717,"1,609",539
857,9735,"2,791",559
857,9739,"1,221",345
857,9746,"4,236",748
857,9808,"4,022","1,119"
857,9867,46,663
857,10087,"3,671",854
857,10172,"3,128",919
857,10245,"1,094",263
857,10304,"3,399",474
857,10738,"4,793",982
857,10777,"4,807","1,195"
857,10919,"7,984","1,588"
857,10952,561,209
857,11034,"1,206",394
857,11055,"3,144",868
857,11061,748,183
857,11275,"6,079","1,241"
857,11330,"1,827",428
857,11339,"13,433","1,554"
857,11485,"6,784","1,151"
857,11532,"6,594","1,606"
857,11579,"1,684",579
857,11610,"5,296","1,012"
857,11637,"7,868",445
857,11721,"9,489","2,002"
857,11754,"2,602",721
857,11808,"2,186",635
857,12190,"8,083","1,590"
857,12325,"13,033","1,546"
857,12343,"3,956","1,170"
857,12386,"10,106","1,520"
857,12668,"4,278","1,155"
857,12984,"6,791",975
857,12992,"7,193","1,568"
857,13064,"3,309",910
857,13324,"2,228",624
857,13402,"2,739",652
857,13471,"4,249","1,015"
857,13475,"4,167","1,176"
857,13775,"4,947","1,118"
857,13909,"1,503",282
857,13975,"2,694",603
857,13991,"4,286","1,088"
857,14004,"3,841","1,116"
857,14231,"2,335",770
857,14258,"1,601",583
857,14269,"2,777",668
857,14584,"2,813",918
857,14586,"10,265","2,205"
857,14676,"1,800",528
857,14831,"8,173","1,724"
857,14910,"2,228",838
857,14965,"4,820","1,065"
857,15023,"2,691",603
857,15087,"5,583","1,171"
857,15093,"2,439",616
857,15103,"8,200","1,470"
857,15143,767,362
857,15150,"1,406",352
857,15513,"5,286",944
857,15655,"4,206","1,163"
857,15839,"6,146","1,174"
857,15859,"2,723",696
857,15866,"3,019",835
857,15997,"3,474","1,018"
857,16034,"7,414","1,335"
857,16045,"1,171",451
857,16117,"3,913",540
857,16137,"8,472","1,840"
857,16274,"3,562",930
857,16427,"1,618",269
857,16605,"3,328",985
857,16684,"4,544","1,055"
857,16755,"3,655","1,014"
857,16771,"2,778",685
857,17069,"2,948",828
857,17091,"5,994","1,529"
857,17118,"2,781",769
857,17290,"7,596","2,046"
857,17339,"1,791",492
857,17340,"2,191",744
857,17343,"2,276",639
857,17405,"5,513",982
857,17433,"3,167",920
857,17577,"2,772",810
857,17836,"2,626",807
857,17991,"2,879",914
857,18420,"3,157",917
857,18427,"1,094",588
857,18446,669,302
857,18527,"1,019",495
857,18671,"1,910",431
857,18725,"1,402",402
815,458,"1,547",564
815,459,"3,582",707
815,461,"4,485","1,283"
815,522,"4,204","1,055"
815,655,"1,503",509
815,659,"2,691",883
815,988,"3,417",718
815,994,"2,173",517
