Calculation1,Year of Fecha,Month of Fecha,Estacion,Lat,Long,PromedioPasajeros
89,2018,February,ALBERTI,-34.60983358,-58.40120753,"3,579"
90,2018,February,ANGEL GALLARDO,-34.60216223,-58.43127386,"11,175"
91,2018,February,AVENIDA DE MAYO,-34.60898331,-58.38061072,"4,649"
92,2018,February,AVENIDA LA PLATA,-34.62701547,-58.42678902,"3,889"
93,2018,February,BOEDO,-34.62536611,-58.41553282,"3,567"
94,2018,February,BOLIVAR,-34.60924243,-58.37368422,"10,314"
95,2018,February,BULNES,-34.58823711,-58.4112939,"12,863"
96,2018,February,CALLAO,-34.59963955,-58.39312518,"11,026"
97,2018,February,CALLAO.B,-34.60441954,-58.39231424,"12,856"
98,2018,February,CARABOBO,-34.62666659,-58.4567098,"8,623"
99,2018,February,CARLOS GARDEL,-34.60407952,-58.4117626,"13,085"
100,2018,February,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"17,007"
101,2018,February,CASEROS,-34.63575018,-58.39892759,"5,246"
102,2018,February,CASTRO BARROS,-34.61177023,-58.42181567,"6,902"
103,2018,February,CATEDRAL,-34.60780234,-58.37395581,"23,999"
104,2018,February,CONGRESO,-34.60922568,-58.39266882,"10,297"
105,2018,February,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"23,845"
106,2018,February,CONSTITUCION,-34.62761945,-58.38143443,"62,913"
107,2018,February,CORDOBA,-34.59845511,-58.4037215,"5,075"
108,2018,February,CORRIENTES,-34.6044902,-58.40545033,"4,809"
109,2018,February,DIAGONAL NORTE,-34.60484374,-58.37952998,"4,926"
110,2018,February,DORREGO,-34.59171815,-58.44757309,"8,798"
111,2018,February,ECHEVERRIA,-34.57779738,-58.4810135,"5,110"
112,2018,February,EMILIO MITRE,-34.63104184,-58.44217071,"4,198"
113,2018,February,ENTRE RIOS,-34.62271967,-58.3915117,"2,101"
114,2018,February,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"11,194"
115,2018,February,FEDERICO LACROZE,-34.58719785,-58.45502929,"24,825"
116,2018,February,FLORES,-34.62908723,-58.46354051,"8,973"
117,2018,February,FLORIDA,-34.60329729,-58.37507152,"16,448"
118,2018,February,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,291"
119,2018,February,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,505"
120,2018,February,HOSPITALES,-34.64126894,-58.41238515,"8,399"
121,2018,February,HUMBERTO I,-34.62309232,-58.40232273,"4,395"
122,2018,February,INCLAN,-34.62937566,-58.40096956,"3,812"
123,2018,February,INDEPENDENCIA,-34.6181256,-58.38017361,"9,785"
124,2018,February,INDEPENDENCIA,-34.61793739,-58.38153494,"9,785"
125,2018,February,JOSE HERNANDEZ,-34.56621524,-58.4521256,"8,798"
126,2018,February,JOSE MARIA MORENO,-34.62801755,-58.43381625,"2,977"
127,2018,February,JUJUY,-34.62386571,-58.40293658,"2,477"
128,2018,February,JURAMENTO,-34.56230909,-58.45648913,"13,285"
129,2018,February,LAS HERAS,-34.58746155,-58.39721558,"10,135"
130,2018,February,LAVALLE,-34.60176992,-58.37815578,"7,969"
131,2018,February,LEANDRO N. ALEM,-34.6029895,-58.36992985,"20,010"
132,2018,February,LIMA,-34.60909981,-58.3822324,"6,030"
133,2018,February,LORIA,-34.61078169,-58.41518571,"5,913"
134,2018,February,LOS INCAS,-34.58124885,-58.47424083,"8,101"
135,2018,February,MALABIA,-34.59896736,-58.4397715,"14,947"
136,2018,February,MARIANO MORENO,-34.61261728,-58.38044447,"5,913"
137,2018,February,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,433"
138,2018,February,MEDRANO,-34.6031649,-58.42096247,"12,518"
139,2018,February,MINISTRO CARRANZA,-34.57517836,-58.43501353,"8,960"
140,2018,February,OLLEROS,-34.57001231,-58.44466815,"9,540"
141,2018,February,ONCE,-34.60893524,-58.40603638,"10,057"
142,2018,February,PALERMO,-34.57842202,-58.42571144,"13,470"
143,2018,February,PASCO,-34.60964596,-58.39842699,"2,891"
144,2018,February,PASTEUR,-34.60464297,-58.39947426,"9,665"
145,2018,February,PATRICIOS,-34.63840599,-58.40579483,"7,529"
146,2018,February,PERU,-34.60855907,-58.37426773,"11,179"
147,2018,February,PICHINCHA,-34.62310987,-58.39706807,"1,943"
148,2018,February,PIEDRAS,-34.60888172,-58.37908515,"5,549"
149,2018,February,PLAZA DE MAYO,-34.60881031,-58.3709685,"13,512"
150,2018,February,PLAZA ITALIA,-34.58141119,-58.42119601,"9,482"
151,2018,February,PLAZA MISERERE,-34.60981725,-58.40670712,"10,585"
152,2018,February,PRIMERA JUNTA,-34.62040521,-58.44117763,"9,798"
153,2018,February,PUAN,-34.62352895,-58.44864765,"4,763"
154,2018,February,PUEYRREDON,-34.60458106,-58.40539944,"9,816"
155,2018,February,PUEYRREDON.D,-34.59442572,-58.40239534,"7,846"
156,2018,February,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"6,590"
157,2018,February,RETIRO,-34.59119381,-58.37401822,"32,233"
158,2018,February,RIO DE JANEIRO,-34.61520561,-58.42950032,"7,707"
159,2018,February,ROSAS,-34.57431891,-58.48638535,"20,205"
160,2018,February,SAN JOSE,-34.62233949,-58.38514855,"1,957"
161,2018,February,SAN JUAN,-34.62191673,-58.37992118,"4,275"
162,2018,February,SAN PEDRITO,-34.63070709,-58.46963963,"19,932"
163,2018,February,SANTA FE,-34.5945254,-58.40237618,"7,928"
164,2018,February,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"9,598"
165,2018,February,TRIBUNALES,-34.60158717,-58.38514236,"11,137"
166,2018,February,TRONADOR,-34.58409462,-58.4662272,"4,473"
167,2018,February,URQUIZA,-34.62465379,-58.40939078,"2,319"
168,2018,February,URUGUAY,-34.60409355,-58.38729613,"12,822"
169,2018,February,VARELA,-34.64013735,-58.45789176,"1,731"
170,2018,February,VENEZUELA,-34.61524215,-58.40473172,"5,747"
171,2018,March,9 DE JULIO,-34.6042452,-58.38057434,"7,086"
172,2018,March,ACOYTE,-34.61827997,-58.43642853,"11,611"
173,2018,March,AGUERO,-34.59162784,-58.40716132,"9,452"
174,2018,March,ALBERTI,-34.60983358,-58.40120753,"4,050"
175,2018,March,ANGEL GALLARDO,-34.60216223,-58.43127386,"12,540"
176,2018,March,AVENIDA DE MAYO,-34.60898331,-58.38061072,"5,010"
177,2018,March,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,395"
178,2018,March,BOEDO,-34.62536611,-58.41553282,"3,914"
179,2018,March,BOLIVAR,-34.60924243,-58.37368422,"11,145"
180,2018,March,BULNES,-34.58823711,-58.4112939,"14,570"
181,2018,March,CALLAO,-34.59963955,-58.39312518,"13,475"
182,2018,March,CALLAO.B,-34.60441954,-58.39231424,"15,648"
183,2018,March,CARABOBO,-34.62666659,-58.4567098,"9,652"
184,2018,March,CARLOS GARDEL,-34.60407952,-58.4117626,"13,713"
185,2018,March,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"18,524"
186,2018,March,CASEROS,-34.63575018,-58.39892759,"5,912"
187,2018,March,CASTRO BARROS,-34.61177023,-58.42181567,"7,985"
188,2018,March,CATEDRAL,-34.60780234,-58.37395581,"24,589"
189,2018,March,CONGRESO,-34.60922568,-58.39266882,"11,576"
190,2018,March,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"27,093"
191,2018,March,CONSTITUCION,-34.62761945,-58.38143443,"66,029"
