Year of Fecha,Month of Fecha,Estacion,Lat,Long,PersonasPromedio
2017,February,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,108"
2017,February,BOEDO,-34.62536611,-58.41553282,"3,812"
2017,February,BOLIVAR,-34.60924243,-58.37368422,"10,557"
2017,February,BULNES,-34.58823711,-58.4112939,"14,215"
2017,February,CALLAO,-34.59963955,-58.39312518,"12,581"
2017,February,CALLAO.B,-34.60441954,-58.39231424,"15,037"
2017,February,CARABOBO,-34.62666659,-58.4567098,"8,930"
2017,February,CARLOS GARDEL,-34.60407952,-58.4117626,"13,899"
2017,February,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"18,427"
2017,February,CASEROS,-34.63575018,-58.39892759,"5,071"
2017,February,CASTRO BARROS,-34.61177023,-58.42181567,"7,483"
2017,February,CATEDRAL,-34.60780234,-58.37395581,"26,375"
2017,February,CONGRESO,-34.60922568,-58.39266882,"10,781"
2017,February,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"26,813"
2017,February,CONSTITUCION,-34.62761945,-58.38143443,"55,210"
2017,February,CORDOBA,-34.59845511,-58.4037215,"4,121"
2017,February,CORRIENTES,-34.6044902,-58.40545033,"4,562"
2017,February,DIAGONAL NORTE,-34.60484374,-58.37952998,"4,805"
2017,February,DORREGO,-34.59171815,-58.44757309,"11,573"
2017,February,ECHEVERRIA,-34.57779738,-58.4810135,"5,761"
2017,February,EMILIO MITRE,-34.63104184,-58.44217071,"4,814"
2017,February,ENTRE RIOS,-34.62271967,-58.3915117,"1,998"
2017,February,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"13,986"
2017,February,FEDERICO LACROZE,-34.58719785,-58.45502929,"21,880"
2017,February,FLORES,-34.62908723,-58.46354051,"9,443"
2017,February,FLORIDA,-34.60329729,-58.37507152,"16,321"
2017,February,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,370"
2017,February,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,367"
2017,February,HOSPITALES,-34.64126894,-58.41238515,"7,590"
2017,February,HUMBERTO I,-34.62309232,-58.40232273,"4,280"
2017,February,INCLAN,-34.62937566,-58.40096956,"3,813"
2017,February,INDEPENDENCIA,-34.6181256,-58.38017361,"10,760"
2017,February,INDEPENDENCIA,-34.61793739,-58.38153494,"10,760"
2017,February,JOSE HERNANDEZ,-34.56621524,-58.4521256,"9,889"
2017,February,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,225"
2017,February,JUJUY,-34.62386571,-58.40293658,"2,465"
2017,February,JURAMENTO,-34.56230909,-58.45648913,"14,517"
2017,February,LAS HERAS,-34.58746155,-58.39721558,"10,327"
2017,February,LAVALLE,-34.60176992,-58.37815578,"7,552"
2017,February,LEANDRO N. ALEM,-34.6029895,-58.36992985,"20,987"
2017,February,LIMA,-34.60909981,-58.3822324,"6,515"
2017,February,LORIA,-34.61078169,-58.41518571,"6,166"
2017,February,LOS INCAS,-34.58124885,-58.47424083,"8,152"
2017,February,MALABIA,-34.59896736,-58.4397715,"15,679"
2017,February,MARIANO MORENO,-34.61261728,-58.38044447,"6,133"
2017,February,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,477"
2017,February,MEDRANO,-34.6031649,-58.42096247,"14,878"
2017,February,MINISTRO CARRANZA,-34.57517836,-58.43501353,"9,490"
2017,February,OLLEROS,-34.57001231,-58.44466815,"10,669"
2017,February,ONCE,-34.60893524,-58.40603638,"8,850"
2017,February,PALERMO,-34.57842202,-58.42571144,"15,850"
2017,February,PASCO,-34.60964596,-58.39842699,"2,899"
2017,February,PASTEUR,-34.60464297,-58.39947426,"10,583"
2017,February,PATRICIOS,-34.63840599,-58.40579483,"6,801"
2017,February,PERU,-34.60855907,-58.37426773,"10,172"
2017,February,PICHINCHA,-34.62310987,-58.39706807,"1,999"
2017,February,PIEDRAS,-34.60888172,-58.37908515,"5,667"
2017,February,PLAZA DE MAYO,-34.60881031,-58.3709685,"15,956"
2017,February,PLAZA ITALIA,-34.58141119,-58.42119601,"10,048"
2017,February,PLAZA MISERERE,-34.60981725,-58.40670712,"10,553"
2017,February,PRIMERA JUNTA,-34.62040521,-58.44117763,"10,354"
2017,February,PUAN,-34.62352895,-58.44864765,"5,605"
2017,February,PUEYRREDON,-34.60458106,-58.40539944,"10,433"
2017,February,PUEYRREDON.D,-34.59442572,-58.40239534,"8,520"
2017,February,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"7,298"
2017,February,RETIRO,-34.59211436,-58.37584984,"61,171"
2017,February,RETIRO,-34.59119381,-58.37401822,"61,171"
2017,February,RIO DE JANEIRO,-34.61520561,-58.42950032,"8,559"
2017,February,ROSAS,-34.57431891,-58.48638535,"22,193"
2017,February,SAENZ PEÑA,-34.60941259,-58.38677719,"7,302"
2017,February,SAN JOSE,-34.62233949,-58.38514855,"2,261"
2017,February,SAN JUAN,-34.62191673,-58.37992118,"5,093"
2017,February,SAN PEDRITO,-34.63070709,-58.46963963,"21,858"
2017,February,SANTA FE,-34.5945254,-58.40237618,"7,046"
2017,February,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"10,405"
2017,February,TRIBUNALES,-34.60158717,-58.38514236,"11,697"
2017,February,TRONADOR,-34.58409462,-58.4662272,"4,602"
2017,February,URQUIZA,-34.62465379,-58.40939078,"2,603"
2017,February,URUGUAY,-34.60409355,-58.38729613,"13,647"
2017,February,VARELA,-34.64013735,-58.45789176,"1,895"
2017,February,VENEZUELA,-34.61524215,-58.40473172,"5,591"
2017,March,9 DE JULIO,-34.6042452,-58.38057434,"9,083"
2017,March,ACOYTE,-34.61827997,-58.43642853,"12,231"
2017,March,AGUERO,-34.59162784,-58.40716132,"9,945"
2017,March,ALBERTI,-34.60983358,-58.40120753,"4,170"
2017,March,ANGEL GALLARDO,-34.60216223,-58.43127386,"13,674"
2017,March,AVENIDA DE MAYO,-34.60898331,-58.38061072,"5,723"
2017,March,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,474"
2017,March,BOEDO,-34.62536611,-58.41553282,"4,060"
2017,March,BOLIVAR,-34.60924243,-58.37368422,"11,995"
2017,March,BULNES,-34.58823711,-58.4112939,"15,177"
2017,March,CALLAO,-34.59963955,-58.39312518,"14,378"
2017,March,CALLAO.B,-34.60441954,-58.39231424,"16,165"
2017,March,CARABOBO,-34.62666659,-58.4567098,"9,659"
2017,March,CARLOS GARDEL,-34.60407952,-58.4117626,"14,002"
2017,March,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"20,008"
2017,March,CASEROS,-34.63575018,-58.39892759,"5,513"
2017,March,CASTRO BARROS,-34.61177023,-58.42181567,"8,254"
2017,March,CATEDRAL,-34.60780234,-58.37395581,"30,461"
2017,March,CONGRESO,-34.60922568,-58.39266882,"11,917"
2017,March,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"29,424"
2017,March,CONSTITUCION,-34.62761945,-58.38143443,"65,513"
2017,March,CORDOBA,-34.59845511,-58.4037215,"4,411"
2017,March,CORRIENTES,-34.6044902,-58.40545033,"4,853"
2017,March,DIAGONAL NORTE,-34.60484374,-58.37952998,"5,400"
2017,March,DORREGO,-34.59171815,-58.44757309,"12,654"
2017,March,ECHEVERRIA,-34.57779738,-58.4810135,"6,222"
2017,March,EMILIO MITRE,-34.63104184,-58.44217071,"5,096"
2017,March,ENTRE RIOS,-34.62271967,-58.3915117,"2,149"
2017,March,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"15,766"
2017,March,FEDERICO LACROZE,-34.58719785,-58.45502929,"23,591"
2017,March,FLORES,-34.62908723,-58.46354051,"10,296"
2017,March,FLORIDA,-34.60329729,-58.37507152,"18,256"
2017,March,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,578"
2017,March,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"8,186"
2017,March,HOSPITALES,-34.64126894,-58.41238515,"8,034"
2017,March,HUMBERTO I,-34.62309232,-58.40232273,"4,563"
2017,March,INCLAN,-34.62937566,-58.40096956,"4,009"
2017,March,INDEPENDENCIA,-34.6181256,-58.38017361,"11,671"
2017,March,INDEPENDENCIA,-34.61793739,-58.38153494,"11,671"
2017,March,JOSE HERNANDEZ,-34.56621524,-58.4521256,"10,860"
2017,March,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,429"
2017,March,JUJUY,-34.62386571,-58.40293658,"2,603"
2017,March,JURAMENTO,-34.56230909,-58.45648913,"15,467"
2017,March,LAS HERAS,-34.58746155,-58.39721558,"10,886"
2017,March,LAVALLE,-34.60176992,-58.37815578,"8,470"
2017,March,LEANDRO N. ALEM,-34.6029895,-58.36992985,"20,360"
2017,March,LIMA,-34.60909981,-58.3822324,"7,177"
2017,March,LORIA,-34.61078169,-58.41518571,"6,607"
2017,March,LOS INCAS,-34.58124885,-58.47424083,"8,853"
2017,March,MALABIA,-34.59896736,-58.4397715,"17,090"
2017,March,MARIANO MORENO,-34.61261728,-58.38044447,"6,458"
2017,March,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,665"
2017,March,MEDRANO,-34.6031649,-58.42096247,"15,715"
2017,March,MINISTRO CARRANZA,-34.57517836,-58.43501353,"10,304"
2017,March,OLLEROS,-34.57001231,-58.44466815,"11,756"
2017,March,ONCE,-34.60893524,-58.40603638,"9,251"
2017,March,PALERMO,-34.57842202,-58.42571144,"16,753"
